primary_id,mean_reservoir_storage_last_ten_years_m3,mean_groundwater_storage_last_ten_years_m3,proportion_unacceptable_unmet_demand
4,86340504.22909641,4375517665.257847,0.6222222222222222
3,169264079.77399954,3554297964.0151877,0.6
11,130810728.14840916,1026781570.3624436,0.08888888888888889
0,127890935.13789026,1345088172.919689,0.6222222222222222
2,107825636.09540868,4097929710.199045,0.6444444444444445
1,157822451.29901117,5544205805.513806,0.0
5,136175788.1990127,3465090945.5188937,0.6888888888888889
7,127619496.93328857,5587621858.185961,0.6666666666666666
6,95927951.69938008,1365638365.3276875,0.6444444444444445
9,142828512.67547634,1819402237.4853728,0.6444444444444445
8,147216661.43634966,8613146443.296398,0.6666666666666666
10,113287375.20210813,3625011300.5022755,0.6444444444444445
12,213106970.75185016,5335918702.476237,0.0
13,92874824.2802746,3402986763.851737,0.2
15,78871931.14573155,4009416613.420425,0.17777777777777778
17,81329989.3192732,1104683755.928897,0.2
14,189314954.35891125,3147973593.4416113,0.044444444444444446
23,243109830.46177295,10849471865.60501,0.0
21,109456483.43807705,2910151795.4402895,0.13333333333333333
19,154605374.88817665,7760991340.858091,0.28888888888888886
18,121005039.49336576,4754569905.246319,0.2222222222222222
16,140428581.22163916,2548681591.3054986,0.4
20,144478895.37756202,1396031389.981934,0.1111111111111111
22,209585152.21633577,5503755131.949477,0.2222222222222222
24,157129139.49650976,8948555926.759974,0.35555555555555557
26,131843567.40476476,8568414602.035532,0.2222222222222222
25,241507909.97477627,8972157681.839539,0.0
27,188519027.83437297,8704480190.513203,0.5111111111111111
28,156531734.14148375,6357542325.6281185,0.35555555555555557
29,174856227.3009041,10035547106.804943,0.4444444444444444
30,212855786.40547195,13046277888.934275,0.4888888888888889
32,160449077.27974358,8057974216.842666,0.3333333333333333
31,216605479.84902894,6983656886.591821,0.3111111111111111
