primary_id,strategy_id,future_id
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,0,50
51,0,51
52,0,52
53,0,53
54,0,54
55,0,55
56,0,56
57,0,57
58,0,58
59,0,59
60,0,60
61,0,61
62,0,62
63,0,63
64,0,64
65,0,65
66,0,66
67,0,67
68,0,68
69,0,69
70,0,70
71,0,71
72,0,72
73,0,73
74,0,74
75,0,75
76,0,76
77,0,77
78,0,78
79,0,79
80,0,80
81,0,81
82,0,82
83,0,83
84,0,84
85,0,85
86,0,86
87,0,87
88,0,88
89,0,89
90,0,90
91,0,91
92,0,92
93,0,93
94,0,94
95,0,95
96,0,96
97,0,97
98,0,98
99,0,99
100,0,100
101,1,0
102,1,1
103,1,2
104,1,3
105,1,4
106,1,5
107,1,6
108,1,7
109,1,8
110,1,9
111,1,10
112,1,11
113,1,12
114,1,13
115,1,14
116,1,15
117,1,16
118,1,17
119,1,18
120,1,19
121,1,20
122,1,21
123,1,22
124,1,23
125,1,24
126,1,25
127,1,26
128,1,27
129,1,28
130,1,29
131,1,30
132,1,31
133,1,32
134,1,33
135,1,34
136,1,35
137,1,36
138,1,37
139,1,38
140,1,39
141,1,40
142,1,41
143,1,42
144,1,43
145,1,44
146,1,45
147,1,46
148,1,47
149,1,48
150,1,49
151,1,50
152,1,51
153,1,52
154,1,53
155,1,54
156,1,55
157,1,56
158,1,57
159,1,58
160,1,59
161,1,60
162,1,61
163,1,62
164,1,63
165,1,64
166,1,65
167,1,66
168,1,67
169,1,68
170,1,69
171,1,70
172,1,71
173,1,72
174,1,73
175,1,74
176,1,75
177,1,76
178,1,77
179,1,78
180,1,79
181,1,80
182,1,81
183,1,82
184,1,83
185,1,84
186,1,85
187,1,86
188,1,87
189,1,88
190,1,89
191,1,90
192,1,91
193,1,92
194,1,93
195,1,94
196,1,95
197,1,96
198,1,97
199,1,98
200,1,99
201,1,100
202,2,0
203,2,1
204,2,2
205,2,3
206,2,4
207,2,5
208,2,6
209,2,7
210,2,8
211,2,9
212,2,10
213,2,11
214,2,12
215,2,13
216,2,14
217,2,15
218,2,16
219,2,17
220,2,18
221,2,19
222,2,20
223,2,21
224,2,22
225,2,23
226,2,24
227,2,25
228,2,26
229,2,27
230,2,28
231,2,29
232,2,30
233,2,31
234,2,32
235,2,33
236,2,34
237,2,35
238,2,36
239,2,37
240,2,38
241,2,39
242,2,40
243,2,41
244,2,42
245,2,43
246,2,44
247,2,45
248,2,46
249,2,47
250,2,48
251,2,49
252,2,50
253,2,51
254,2,52
255,2,53
256,2,54
257,2,55
258,2,56
259,2,57
260,2,58
261,2,59
262,2,60
263,2,61
264,2,62
265,2,63
266,2,64
267,2,65
268,2,66
269,2,67
270,2,68
271,2,69
272,2,70
273,2,71
274,2,72
275,2,73
276,2,74
277,2,75
278,2,76
279,2,77
280,2,78
281,2,79
282,2,80
283,2,81
284,2,82
285,2,83
286,2,84
287,2,85
288,2,86
289,2,87
290,2,88
291,2,89
292,2,90
293,2,91
294,2,92
295,2,93
296,2,94
297,2,95
298,2,96
299,2,97
300,2,98
301,2,99
302,2,100
303,3,0
304,3,1
305,3,2
306,3,3
307,3,4
