ID;Countrycode;Countryname;potentially suitable land;potentially cultivable land;potentially available cropland
14;ABW;Aruba;144;123;123
1;AFG;Afghanistan;441326;440487;435303
8;AGO;Angola;1242190;1240155;592146
9;AIA;Anguilla;46;44;9
3;ALA;Åland;525;501;106
4;ALB;Albania;19530;19228;13758
7;AND;Andorra;120;116;84
241;ARE;United Arab Emirates;40456;39552;38349
12;ARG;Argentina;2560817;2531563;2156352
13;ARM;Armenia;22388;22168;19441
6;ASM;American Samoa;101;92;92
10;ATA;Antarctica;0;0;0
82;ATF;French Southern Territories;0;0;0
11;ATG;Antigua and Barbuda;380;345;246
15;AUS;Australia;7539293;7529986;5896739
16;AUT;Austria;53797;52507;27896
17;AZE;Azerbaijan;74850;73213;63589
39;BDI;Burundi;24869;24742;21266
23;BEL;Belgium;30149;28462;21546
25;BEN;Benin;115437;114775;67450
29;BES;Bonaire, Sint Eustatius and Saba;237;196;159
38;BFA;Burkina Faso;273687;272667;218518
20;BGD;Bangladesh;130680;122941;108247
37;BGR;Bulgaria;97957;96705;67432
19;BHR;Bahrain;546;396;395
18;BHS;Bahamas;9446;7994;1149
30;BIH;Bosnia and Herzegovina;43343;42972;26014
190;BLM;Saint-Barthélemy;0;0;0
22;BLR;Belarus;199537;197887;111882
24;BLZ;Belize;21501;21046;7003
26;BMU;Bermuda;0;0;0
28;BOL;Bolivia;1016031;1008986;441136
33;BRA;Brazil;8289923;8195024;3083992
21;BRB;Barbados;407;378;314
36;BRN;Brunei;5655;5582;1317
27;BTN;Bhutan;16216;16169;1528
32;BVT;Bouvet Island;0;0;0
31;BWA;Botswana;563984;563444;356624
46;CAF;Central African Republic;621344;620721;367176
42;CAN;Canada;2246354;2196705;763101
52;CCK;Cocos Islands;0;0;0
223;CHE;Switzerland;17553;16833;10808
48;CHL;Chile;411943;401311;278586
49;CHN;China;6201264;6105301;4606982
57;CIV;Côte d'Ivoire;317362;316208;205830
41;CMR;Cameroon;460802;458915;253860
0;COD;Democratic Republic of the Congo;2292585;2284667;587622
185;COG;Republic of Congo;341275;338246;112511
55;COK;Cook Islands;0;0;0
53;COL;Colombia;1052450;1043017;439487
54;COM;Comoros;1244;1228;1007
43;CPV;Cape Verde;2313;2260;1731
56;CRI;Costa Rica;48406;47964;22492
59;CUB;Cuba;105487;103541;71354
60;CUW;Curaçao;379;342;318
50;CXR;Christmas Island;0;0;0
45;CYM;Cayman Islands;150;135;37
61;CYP;Cyprus;5283;5038;3891
62;CZE;Czech Republic;76291;74749;49028
86;DEU;Germany;342872;332721;221025
65;DJI;Djibouti;18599;18493;17785
66;DMA;Dominica;681;678;252
64;DNK;Denmark;39829;38708;33033
67;DOM;Dominican Republic;46548;45870;23630
5;DZA;Algeria;1571151;1566843;1494842
68;ECU;Ecuador;233342;230175;105956
69;EGY;Egypt;734704;729213;717277
72;ERI;Eritrea;105460;105326;90240
253;ESH;Western Sahara;241348;241311;237063
215;ESP;Spain;460581;446459;283742
73;EST;Estonia;37958;37685;16528
74;ETH;Ethiopia;1093485;1091921;929332
78;FIN;Finland;228510;221708;30351
77;FJI;Fiji;15945;15866;6221
75;FLK;Falkland Islands;8931;8819;8800
79;FRA;France;493109;483561;345586
76;FRO;Faroe Islands;714;694;693
146;FSM;Micronesia;0;0;0
83;GAB;Gabon;261024;259828;24035
242;GBR;United Kingdom;220305;214535;177790
85;GEO;Georgia;43335;42935;26313
95;GGY;Guernsey;48;46;46
87;GHA;Ghana;225667;223447;120270
88;GIB;Gibraltar;1;0;0
96;GIN;Guinea;243901;243005;177959
92;GLP;Guadeloupe;1480;1449;772
